time,Cache:adminBytes,Cache:cacheTotalBytes,Cache:dataAdminBytes,Cache:dataBytes,Cache:lockBytes,Cache:nBINDeltasFetchMiss,Cache:nBINsFetch,Cache:nBINsFetchMiss,Cache:nBINsFetchMissRatio,Cache:nBinDeltaBlindOps,Cache:nBytesEvictedCACHEMODE,Cache:nBytesEvictedCRITICAL,Cache:nBytesEvictedDAEMON,Cache:nBytesEvictedEVICTORTHREAD,Cache:nBytesEvictedMANUAL,Cache:nCachedBINDeltas,Cache:nCachedBINs,Cache:nCachedUpperINs,Cache:nEvictionRuns,Cache:nFullBINsMiss,Cache:nINCompactKey,Cache:nINNoTarget,Cache:nINSparseTarget,Cache:nLNsEvicted,Cache:nLNsFetch,Cache:nLNsFetchMiss,Cache:nNodesEvicted,Cache:nNodesMovedToDirtyLRU,Cache:nNodesMutated,Cache:nNodesPutBack,Cache:nNodesSkipped,Cache:nNodesStripped,Cache:nNodesTargeted,Cache:nRootNodesEvicted,Cache:nSharedCacheEnvironments,Cache:nThreadUnavailable,Cache:nUpperINsFetch,Cache:nUpperINsFetchMiss,Cache:sharedCacheTotalBytes,Checkpoints:lastCheckpointEnd,Checkpoints:lastCheckpointId,Checkpoints:lastCheckpointInterval,Checkpoints:lastCheckpointStart,Checkpoints:nCheckpoints,Checkpoints:nDeltaINFlush,Checkpoints:nFullBINFlush,Checkpoints:nFullINFlush,Cleaning:cleanerBackLog,Cleaning:fileDeletionBacklog,Cleaning:lastKnownUtilization,Cleaning:lnSizeCorrectionFactor,Cleaning:nBINDeltasCleaned,Cleaning:nBINDeltasDead,Cleaning:nBINDeltasMigrated,Cleaning:nBINDeltasObsolete,Cleaning:nCleanerDeletions,Cleaning:nCleanerEntriesRead,Cleaning:nCleanerProbeRuns,Cleaning:nCleanerRuns,Cleaning:nClusterLNsProcessed,Cleaning:nINsCleaned,Cleaning:nINsDead,Cleaning:nINsMigrated,Cleaning:nINsObsolete,Cleaning:nLNQueueHits,Cleaning:nLNsCleaned,Cleaning:nLNsDead,Cleaning:nLNsLocked,Cleaning:nLNsMarked,Cleaning:nLNsMigrated,Cleaning:nLNsObsolete,Cleaning:nMarkLNsProcessed,Cleaning:nPendingLNsLocked,Cleaning:nPendingLNsProcessed,Cleaning:nRepeatIteratorReads,Cleaning:nToBeCleanedLNsProcessed,Cleaning:pendingLNQueueSize,Cleaning:totalLogSize,Environment:btreeRelatchesRequired,Environment:environmentCreationTime,I/O:bufferBytes,I/O:endOfLog,I/O:nBytesReadFromWriteQueue,I/O:nBytesWrittenFromWriteQueue,I/O:nCacheMiss,I/O:nFSyncRequests,I/O:nFSyncTime,I/O:nFSyncs,I/O:nFileOpens,I/O:nGroupCommitRequests,I/O:nGroupCommitWaits,I/O:nGrpCommitTimeouts,I/O:nLogBuffers,I/O:nLogFSyncs,I/O:nLogIntervalExceeded,I/O:nLogMaxGroupCommitThreshold,I/O:nNoFreeBuffer,I/O:nNotResident,I/O:nOpenFiles,I/O:nRandomReadBytes,I/O:nRandomReads,I/O:nRandomWriteBytes,I/O:nRandomWrites,I/O:nReadsFromWriteQueue,I/O:nRepeatFaultReads,I/O:nSequentialReadBytes,I/O:nSequentialReads,I/O:nSequentialWriteBytes,I/O:nSequentialWrites,I/O:nTempBufferWrites,I/O:nWriteQueueOverflow,I/O:nWriteQueueOverflowFailures,I/O:nWritesFromWriteQueue,Jvm:PS MarkSweep.count,Jvm:PS MarkSweep.time,Jvm:PS Scavenge.count,Jvm:PS Scavenge.time,Jvm:heap,Jvm:loadAverage,Locks:nLatchAcquireNoWaitUnsuccessful,Locks:nLatchAcquiresNoWaitSuccessful,Locks:nLatchAcquiresNoWaiters,Locks:nLatchAcquiresSelfOwned,Locks:nLatchAcquiresWithContention,Locks:nLatchReleases,Locks:nRequests,Locks:nWaits,Node Compression:cursorsBins,Node Compression:dbClosedBins,Node Compression:inCompQueueSize,Node Compression:nonEmptyBins,Node Compression:processedBins,Node Compression:splitBins,Op:cursorDelete,Op:cursorGetCurrent,Op:cursorGetFirst,Op:cursorGetLast,Op:cursorGetNext,Op:cursorGetNextDup,Op:cursorGetNextNoDup,Op:cursorGetPrev,Op:cursorGetPrevDup,Op:cursorGetPrevNoDup,Op:cursorPut,Op:cursorPutCurrent,Op:cursorPutNoDupData,Op:cursorPutNoOverwrite,Op:dbDelete,Op:dbGet,Op:dbGetSearchBoth,Op:dbPut,Op:dbPutNoDupData,Op:dbPutNoOverWrite,Op:dbRemoveSequence,Op:dosCursorGetNext,Op:nBinDeltaDeleteOps,Op:nBinDeltaGetOps,Op:nBinDeltaInsertOps,Op:nBinDeltaUpdateOps,Op:secondaryCursorDelete,Op:secondaryCursorGetCurrent,Op:secondaryCursorGetFirst,Op:secondaryCursorGetLast,Op:secondaryCursorGetNext,Op:secondaryCursorGetNextDup,Op:secondaryCursorGetNextNoDup,Op:secondaryCursorGetPrev,Op:secondaryCursorGetPrevDup,Op:secondaryCursorGetPrevNoDup,Op:secondaryDbDelete,Op:secondaryDbGet,Op:secondaryDbGetSearchBoth
2018-03-01 08:13:44.562 UTC,125,3157213,696,11360,0,0,0,0,0.0,0,0,0,0,0,0,0,3,3,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,945,1,369,369,1,0,2,4,0,0,46,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1519892024298,3145728,0,0,0,0,2,81,2,2,2,0,0,3,3,0,0,0,0,0,0,0,38,1,0,0,2048,1,956,2,0,0,0,0,0,0,0,0,50709408,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-03-01 08:13:49.249 UTC,25693,19852245,3048,16680824,0,0,251259,0,0.0,0,0,0,0,0,0,0,2167,40,0,0,1663,266,486,0,18,0,0,0,0,0,0,0,0,0,0,0,154909,0,0,945,1,369,369,0,0,0,0,0,0,58,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1519892024298,3145728,0,0,0,0,0,145,0,4,0,0,0,3,1,0,0,0,0,0,0,0,38,1,0,0,6144,3,17337357,17,0,0,0,0,0,0,6,57,157386512,1,0,0,0,0,0,0,164115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85009,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-03-01 08:13:49.461 UTC,250,3168026,3360,21944,104,0,36,3,0.083333336,0,0,0,0,0,0,0,3,3,3,0,2,1,4,0,26,12,0,0,0,0,0,0,0,0,0,0,0,0,0,4303083898,2,0,4302425943,0,0,0,0,0,0,57,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1519892029380,3145728,0,0,0,20,0,0,0,4,0,0,0,3,0,0,0,0,20,1,12288,6,0,0,0,2,12312564,1517,0,0,0,0,0,0,0,0,6,57,202917136,1,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-03-01 08:13:52.489 UTC,28506,21306762,4608,18132528,0,198,235995,571,0.0024195428,1266,0,0,0,0,0,21,2582,50,0,177,1584,553,509,0,20,7,0,0,0,0,0,0,0,0,0,0,235975,12,0,4303083898,2,0,4302425943,0,0,0,0,0,0,56,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1519892029380,3145728,0,0,0,774,0,147,0,7,0,0,0,3,2,0,0,0,774,2,870400,425,13977165,16,0,103,986404,457,2095621,2,0,0,0,0,0,0,2,21,898064848,1,0,0,0,0,0,0,155377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78618,0,1,0,0,0,0,0,0,0,0,1266,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-03-01 08:13:52.642 UTC,500,3168452,4480,22144,80,0,39,3,0.07692308,0,0,0,0,0,0,0,3,3,5,0,2,1,4,0,30,13,0,0,0,0,0,0,0,0,0,0,0,0,0,12891284085,3,0,12890097595,0,0,0,0,0,0,-1,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1519892032597,3145728,0,0,0,21,0,0,0,5,0,0,0,3,0,0,0,0,21,1,53248,14,0,0,0,3,13839684,1702,0,0,0,0,0,0,0,0,8,78,976646808,1,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-03-01 08:13:55.442 UTC,28804,23636140,6064,20461608,0,544,233961,1268,0.005419707,3117,0,0,0,0,0,204,3241,59,0,340,1604,811,673,0,20,8,0,0,0,0,0,0,0,0,0,0,233941,23,0,12891284085,3,0,12890097595,0,0,0,0,0,0,55,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1519892032597,3145728,0,0,0,1646,0,198,0,9,0,0,0,3,2,0,0,0,1646,4,1701888,831,14662738,17,0,251,2286141,1074,2097123,2,0,0,0,0,0,0,1,31,1374745464,1,0,0,0,0,0,0,154172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77828,0,1,0,0,0,0,0,0,0,23,3117,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-03-01 08:13:55.588 UTC,750,3170438,5936,23744,216,0,46,3,0.06521739,0,0,0,0,0,0,0,3,3,7,0,2,1,4,0,36,15,0,0,0,0,0,0,0,0,0,0,0,0,0,21480362557,4,0,21478702817,0,0,0,0,0,0,55,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1519892035558,3145728,0,0,0,23,0,0,0,5,0,0,0,3,0,0,0,0,23,1,53248,14,0,0,0,3,15935036,1960,0,0,0,0,0,0,0,0,9,109,1429361664,1,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-03-01 08:13:57.743 UTC,29542,21376294,7520,18201024,0,316,227768,699,0.0030689123,1100,0,0,0,0,0,157,2630,63,0,159,1499,498,725,0,20,8,0,0,0,0,0,0,0,0,0,0,227749,30,0,21480362557,4,0,21478702817,0,0,0,0,0,0,55,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1519892035558,3145728,0,0,0,903,0,174,0,11,0,0,0,3,2,0,0,0,903,6,1001472,489,14476261,17,0,142,1217527,565,2093904,2,0,0,0,0,0,0,1,41,1676299640,1,0,0,0,0,0,0,150517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75332,0,1,0,0,0,0,0,0,0,39,1100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-03-01 08:13:57.850 UTC,1000,3175208,7728,28368,112,0,53,4,0.057692308,0,0,0,0,0,0,0,4,4,9,0,2,2,5,0,43,18,0,0,0,0,0,0,0,0,0,0,0,0,0,30069139773,5,0,30067903788,0,0,0,0,0,0,-1,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1519892037825,3145728,0,0,0,26,0,0,0,7,0,0,0,3,0,0,0,0,26,2,59392,17,0,0,0,3,12243498,1511,0,0,0,0,0,0,0,0,10,150,1714222200,1,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-03-01 08:14:00.419 UTC,30256,26070264,8976,22894280,0,1077,238610,2010,0.008423788,5531,0,0,0,0,0,530,3996,75,0,547,1691,1199,916,0,19,7,0,0,0,0,0,0,0,0,0,0,238592,37,0,30069139773,5,0,30067903788,0,0,0,0,0,0,54,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1519892037825,3145728,0,0,0,2609,0,157,0,12,0,0,0,3,2,0,0,0,2609,8,3604480,1760,15630238,18,0,452,2892633,1311,2096515,2,0,0,0,0,0,0,1,14,1161860968,1,0,0,0,0,0,0,156892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79745,0,0,0,0,0,0,0,0,0,28,5531,0,0,0,0,0,0,0,0,0,0,0,0,0,0
